5.R String Id,5.2 String Id
textStatAlarmDonorHypervolemia,DCL_TEXT_ALRM_DONOR_HYPERVOLEMIA_STAT
textListboxItemCfgBloodTypeAll,DCL_TEXT_CONFIG_BLOOD_TYPE_ALL
textStatConfigExitWait,DCL_TEXT_CONFIG_EXIT_WAIT_NOTICE
textListboxItemCfgPlsProcAmap,DCL_TEXT_CONFIG_PLASMA_OPTIMAL
textCfgColLabelCfgPrioBloodType,DCL_TEXT_CONFIG_TYPE_LABEL
textAlarmBodyWithGraphicDrawCycleShort01,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_01
textStatAlarmDrawCycleShort00,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_STAT
textStatAlarmDrawCycleShort01,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_STAT_01
textStatAlarmDrawCycleShort02,DCL_TEXT_DRAW_CYCLE_TOO_SHORT_ALERT_STAT_02
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_DRBC_WRONG_SET_DETECTED
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_DRBC_WRONG_SET_DETECTED_STAT
textStatLoadSetDrbc,DCL_TEXT_LOAD_DRBC_TUBING_SET
textAlarmBodyNoGraphicOvertemp,DCL_TEXT_OVERTEMP_FAILURE
textStatAlarmOvertemp,DCL_TEXT_OVERTEMP_FAILURE_STAT
textListboxItemCfgPltProc1,DCL_TEXT_PROD_NAME_PLT1
textListboxItemCfgPltProc2,DCL_TEXT_PROD_NAME_PLT2
textListboxItemCfgPltProc3,DCL_TEXT_PROD_NAME_PLT3
textListboxItemCfgPltProc4,DCL_TEXT_PROD_NAME_PLT4
textListboxItemCfgPltProc5,DCL_TEXT_PROD_NAME_PLT5
textListboxItemCfgPltProc6,DCL_TEXT_PROD_NAME_PLT6
textCfgRowLabelCfgPlt1,DCL_TEXT_PROD_NAME_PLT1
textCfgRowLabelCfgPlt2,DCL_TEXT_PROD_NAME_PLT2
textCfgRowLabelCfgPlt3,DCL_TEXT_PROD_NAME_PLT3
textCfgRowLabelCfgPlt4,DCL_TEXT_PROD_NAME_PLT4
textCfgRowLabelCfgPlt5,DCL_TEXT_PROD_NAME_PLT5
textCfgRowLabelCfgPlt6,DCL_TEXT_PROD_NAME_PLT6
TEXT_PWS_BODY_TITLE,DCL_TEXT_PWS_BODY_TITLE
textEmptyFormatPwsFactotumButton,DCL_TEXT_BLANK
textEmptyFormatPwsFactotumPlac,DCL_TEXT_BLANK
textCfgRowLabelCfgRbc1,DCL_TEXT_RBC1
textCfgRowLabelCfgRbc2,DCL_TEXT_RBC2
textCfgRowLabelCfgRbc3,DCL_TEXT_RBC3
textButtonCancelSalineConnect,DCL_TEXT_RBC_REP_FLUID_CANCEL
textButtonContinueSalineConnect,DCL_TEXT_RBC_REP_FLUID_CONTINUE
textStatSalineConnect,DCL_TEXT_RBC_REP_FLUID_STAT
textDataLabelRs1SalineUsed,DCL_TEXT_RBC_REP_FLUID_USED_LABEL
textEmptyFormatRs1DatSalineUsed,DCL_TEXT_BLANK
textStatRbcVolRangeSplit,DCL_TEXT_RBC_VOLUME_RANGE_SPLIT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_REPLACEMENT_FLUID
textCfgScreenLabelRepFluid,DCL_TEXT_REPLACEMENT_FLUID_TITLE
textAlarmBodyWithGraphicResDrawAlert02,DCL_TEXT_RESERVOIR_DRAW_ALERT_02
textAlarmBodyWithGraphicResDrawAlert03,DCL_TEXT_RESERVOIR_DRAW_ALERT_03
textStatAlarmResDrawAlert01,DCL_TEXT_RESERVOIR_DRAW_ALERT_STAT_01
textStatAlarmResDrawAlert02,DCL_TEXT_RESERVOIR_DRAW_ALERT_STAT_02
textStatAlarmResDrawAlert03,DCL_TEXT_RESERVOIR_DRAW_ALERT_STAT_03
textStatAlarmReturnCycleShort00,DCL_TEXT_RETURN_CYCLE_TOO_SHORT_STAT
textMiscSalineBolus,DCL_TEXT_SALINE_BOLUS
textMiscSetIdOperatorPrompt,DCL_TEXT_SET_ID_OPERATOR_PROMPT
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_SET_ID_PLATELET_PLASMA_BTN
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_SET_ID_PLATELET_PLASMA_RBC_BTN
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_SET_ID_RBC_PLASMA_BTN
textStatSetId,DCL_TEXT_SET_ID_STAT
textEmpty,DCL_TEXT_EMPTY
textButtonCancel,DCL_TEXT_CANCEL_BTN
textButtonEndAddition,DCL_TEXT_END_ADDITION
textButtonAlarmEndAddition,DCL_TEXT_END_ADDITION
textButtonLongContinue,DCL_TEXT_CONT_BTN
textButtonLongNextProcedure,DCL_TEXT_RS2_NEXT_PROC
textButtonConfig,DCL_TEXT_CONFIG_BTN
textButtonQuestionMark,DCL_TEXT_HELP_BTN
textProgBarLoad,DCL_TEXT_STAT_LOAD
textProgBarDonorInfo,DCL_TEXT_STAT_INFO
textProgBarDonorPrep,DCL_TEXT_STAT_PREP
textProgBarDonate,DCL_TEXT_STAT_DONATE
textProgBarUnload,DCL_TEXT_STAT_UNLOAD
textButtonGiantLoadSystem,DCL_TEXT_SYSD_LOADSYS
textButtonDonorInfo,DCL_TEXT_SYSD_DONINFO
textMiscInstructionHang,DCL_TEXT_DISP_HANG
textMiscInstructionInsert,DCL_TEXT_DISP_INSERT
textMiscInstructionLoad,DCL_TEXT_DISP_LOAD
textMiscInstructionClose,DCL_TEXT_DISP_CLOSE
textStatDispLowering,DCL_TEXT_DISP_LOWERING
textStatDispRaising,DCL_TEXT_DISP_RAISING
textStatDispLowered,DCL_TEXT_DISP_LOWERED
textMiscTubingSetTest,DCL_TEXT_DISP_TEST_DESCRIP
textStatDispTestComplete,DCL_TEXT_DISP_TEST_COMPLETE
textStatDispTestInProgress,DCL_TEXT_DISP_TEST_INPROGRESS
textMiscInstructionDonConnOpen,DCL_TEXT_DONCONN_OPEN
textMiscInstructionDonConnCloseSeal,DCL_TEXT_DONCONN_FLOW
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_BLOODSMP_CLOSE
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_BLOODSMP_SEAL
textButtonLongStartDraw,DCL_TEXT_START_DRAW
textMiscInstructionDispConnectAc,DCL_TEXT_DISP_CONNECT_AC
textMiscInstructionDispSqueezeAc,DCL_TEXT_DISP_SQUEEZE_AC
textMiscInstructionDispLoadAc,DCL_TEXT_DISP_LOAD_AC
textButtonLongBeginDonorPrep,DCL_TEXT_BEGIN_RUN
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_CANCEL_PROC
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_DO_NOT_CANCEL_PROC
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_RINSEBACK
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_DO_NOT_RINSEBACK
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_SPILLOVER
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_DO_NOT_SPILLOVER
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_AIR_IN_PLASMA
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_DO_NOT_AIR_IN_PLASMA
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_RINSE_MSG
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_SPILL_MSG
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_ABORT_AIR_IN_PLASMA_MSG
textMiscLabelRs1Procedural,DCL_TEXT_RS1LAB_PROCEDURAL
textDataLabelRs1AcUsed,DCL_TEXT_RS1LAB_TOTAL_AC_USED
*** NO EQUIVALENT IN 5.R ***,DCL_TEXT_RS1LAB_TOTAL_AC_USED_ALTERNATE
textDataLabelRs1EndOfRunTime,DCL_TEXT_RS1LAB_END_OF_RUN_TIME
textDataLabelRs1DurationOfRun,DCL_TEXT_RS1LAB_LENGTH_OF_RUN
textDataLabelRs1PltPostCount,DCL_TEXT_RS1LAB_POST_PLATELET_COUNT
textDataLabelRs1AcToDonor,DCL_TEXT_RS1LAB_ACTUAL_AC_TO_DONOR
